"","session","temp","crt","mathreported","mathcorrect","mathmistakes","wordstotalreported","wordstotalcorrect","wordsmistakes","repeats","word2","word3","word4","word5","word6","word7","word8","word9","male","age","majorecon","nativegerman","enjoymath","enjoywords","strongme","cool","normal","warm","hot","month"
"45",2,19.3500003814697,3,15,13,2,21,17,4,0,0,2,6,7,2,0,0,0,1,26,1,1,8,7,9,1,0,0,0,9
"46",3,19.1000003814697,0,14,8,6,16,15,1,0,0,2,8,4,1,0,0,0,0,27,0,1,1,3,8,1,0,0,0,9
"47",3,19.1000003814697,3,9,5,4,17,17,0,0,0,6,7,1,2,0,1,0,0,24,0,0,4,8,7,1,0,0,0,9
"48",3,19.1000003814697,0,7,7,0,11,11,0,0,0,1,6,4,0,0,0,0,1,29,0,1,3,5,8,1,0,0,0,9
"49",3,19.1000003814697,3,22,21,1,23,20,3,0,0,3,8,5,2,2,0,0,1,26,0,1,9,6,10,1,0,0,0,9
"50",3,19.1000003814697,3,18,14,4,25,25,0,0,3,10,11,0,1,0,0,0,1,28,0,1,8,3,7,1,0,0,0,9
"51",3,19.1000003814697,3,8,5,3,30,25,5,0,0,6,11,8,0,0,0,0,1,22,0,1,4,9,2,1,0,0,0,9
"52",3,19.1000003814697,1,19,18,1,23,23,0,0,2,11,6,3,1,0,0,0,1,32,0,1,10,8,9,1,0,0,0,9
"53",3,19.1000003814697,3,13,10,3,24,22,2,0,0,7,7,7,1,0,0,0,0,21,0,1,6,10,5,1,0,0,0,9
"54",3,19.1000003814697,0,4,3,1,18,18,0,0,2,5,5,4,2,0,0,0,1,25,0,0,6,9,NA,1,0,0,0,9
"55",3,19.1000003814697,3,15,15,0,17,17,0,0,1,3,7,5,1,0,0,0,1,23,1,1,8,7,8,1,0,0,0,9
"56",3,19.1000003814697,3,17,14,3,27,25,2,0,1,2,6,9,5,1,1,0,1,22,1,1,8,9,8,1,0,0,0,9
"57",3,19.1000003814697,3,10,7,3,19,18,1,0,2,3,8,4,1,0,0,0,1,25,1,1,5,7,4,1,0,0,0,9
"58",3,19.1000003814697,2,16,12,4,55,49,5,1,0,10,18,14,7,0,0,0,1,28,0,0,7,9,8,1,0,0,0,9
"59",3,19.1000003814697,2,9,7,2,22,21,1,0,3,10,4,3,1,0,0,0,1,22,0,1,2,3,7,1,0,0,0,9
"60",3,19.1000003814697,3,8,6,2,22,20,1,1,1,7,7,5,0,0,0,0,0,27,0,1,7,8,8,1,0,0,0,9
"61",3,19.1000003814697,3,18,15,3,29,29,0,0,6,8,9,3,3,0,0,0,1,27,1,1,10,10,10,1,0,0,0,9
"62",3,19.1000003814697,1,7,7,0,22,22,0,0,1,5,16,0,0,0,0,0,0,20,1,1,5,5,5,1,0,0,0,9
"63",3,19.1000003814697,3,10,7,3,9,9,0,0,2,0,4,3,0,0,0,0,NA,NA,NA,NA,NA,NA,5,1,0,0,0,9
"64",3,19.1000003814697,1,17,11,6,10,10,0,0,0,1,5,2,2,0,0,0,0,22,0,0,3,7,8,1,0,0,0,9
"65",3,19.1000003814697,3,18,15,3,21,21,0,0,0,3,12,5,1,0,0,0,0,27,1,1,9,8,7,1,0,0,0,9
"66",3,19.1000003814697,3,13,11,2,14,14,0,0,0,1,7,3,3,0,0,0,1,22,1,1,10,10,9,1,0,0,0,9
"67",3,19.1000003814697,3,12,9,3,26,24,2,0,1,10,7,5,0,1,0,0,1,27,0,1,7,8,7,1,0,0,0,9
"68",4,20.25,2,15,15,0,22,22,0,0,2,6,8,1,4,1,0,0,1,27,0,1,10,4,8,0,1,0,0,9
"69",4,20.25,3,13,12,1,12,11,1,0,1,3,2,4,1,0,0,0,1,21,0,0,1,8,4,0,1,0,0,9
"70",4,20.25,3,24,20,4,15,15,0,0,0,6,4,4,1,0,0,0,1,33,0,1,10,8,6,0,1,0,0,9
"71",4,20.25,3,9,8,1,17,17,0,0,0,4,5,6,2,0,0,0,1,22,0,1,8,9,7,0,1,0,0,9
"72",4,20.25,2,8,7,1,6,6,0,0,0,4,1,1,0,0,0,0,0,20,0,0,4,2,6,0,1,0,0,9
"73",4,20.25,3,22,2,20,13,12,1,0,0,0,6,3,3,0,0,0,1,24,0,0,6,3,4,0,1,0,0,9
"74",4,20.25,0,10,5,5,17,17,0,0,0,3,12,1,0,1,0,0,0,20,0,0,8,10,10,0,1,0,0,9
"75",4,20.25,3,9,9,0,26,26,0,0,0,3,10,8,4,1,0,0,0,20,0,1,1,9,10,0,1,0,0,9
"76",4,20.25,3,19,18,1,26,26,0,0,1,5,6,7,6,1,0,0,1,26,0,1,7,5,7,0,1,0,0,9
"77",4,20.25,3,8,6,2,18,17,1,0,0,3,9,3,1,0,1,0,1,25,1,1,3,3,5,0,1,0,0,9
"78",4,20.25,0,13,3,10,25,25,0,0,0,4,13,6,2,0,0,0,0,25,1,1,7,10,9,0,1,0,0,9
"79",4,20.25,2,11,9,2,20,20,0,0,0,7,5,5,3,0,0,0,0,22,0,1,1,4,10,0,1,0,0,9
"80",4,20.25,0,9,7,2,14,14,0,0,0,1,8,3,2,0,0,0,0,21,0,1,5,8,8,0,1,0,0,9
"81",4,20.25,2,6,5,1,16,16,0,0,0,10,3,2,1,0,0,0,0,21,0,1,3,9,7,0,1,0,0,9
"82",4,20.25,2,20,14,6,34,33,1,0,0,3,12,8,9,1,0,0,0,32,0,1,10,10,7,0,1,0,0,9
"83",4,20.25,3,12,1,11,29,29,0,0,1,7,11,8,2,0,0,0,0,21,0,1,10,8,7,0,1,0,0,9
"84",4,20.25,3,13,13,0,21,21,0,0,0,3,13,3,2,0,0,0,0,22,1,1,3,5,4,0,1,0,0,9
"85",4,20.25,3,13,12,1,23,23,0,0,1,6,12,4,0,0,0,0,1,18,0,1,7,7,7,0,1,0,0,9
"86",4,20.25,1,14,13,1,19,19,0,0,1,7,8,1,1,1,0,0,0,19,1,1,10,8,10,0,1,0,0,9
"87",4,20.25,3,12,9,3,34,31,2,1,1,9,12,8,1,0,0,0,0,20,0,1,5,7,7,0,1,0,0,9
"88",4,20.25,1,11,11,0,15,15,0,0,1,5,7,1,1,0,0,0,1,21,1,1,6,6,6,0,1,0,0,9
"89",5,22.3500003814697,3,13,5,8,20,20,0,0,1,7,7,5,0,0,0,0,1,22,1,1,10,1,8,0,1,0,0,9
"90",5,22.3500003814697,1,6,6,0,25,25,0,0,1,10,9,2,3,0,0,0,0,30,1,1,3,8,4,0,1,0,0,9
"91",5,22.3500003814697,1,12,10,2,12,12,0,0,0,4,7,0,1,0,0,0,0,23,0,1,4,4,10,0,1,0,0,9
"92",5,22.3500003814697,3,26,25,1,40,38,0,2,2,8,14,12,2,0,0,0,1,21,0,1,8,8,8,0,1,0,0,9
"93",5,22.3500003814697,2,8,4,4,15,15,0,0,0,2,6,3,4,0,0,0,1,19,1,0,3,4,7,0,1,0,0,9
"94",5,22.3500003814697,3,9,8,1,19,18,1,0,0,3,7,4,3,0,1,0,0,24,0,1,3,6,8,0,1,0,0,9
"95",5,22.3500003814697,3,15,9,6,12,11,1,0,0,1,2,3,5,0,0,0,1,25,0,1,5,8,4,0,1,0,0,9
"96",5,22.3500003814697,3,8,7,1,28,28,0,0,1,8,12,6,1,0,0,0,1,28,1,1,9,6,10,0,1,0,0,9
"97",5,22.3500003814697,2,19,19,0,25,25,0,0,1,6,12,5,1,0,0,0,1,22,0,1,10,6,7,0,1,0,0,9
"98",5,22.3500003814697,0,8,7,1,8,7,1,0,2,1,2,1,1,0,0,0,0,33,0,0,6,9,8,0,1,0,0,9
"99",5,22.3500003814697,1,17,13,4,42,40,1,1,3,16,9,7,3,0,2,0,0,26,0,1,6,9,7,0,1,0,0,9
"100",5,22.3500003814697,3,19,16,3,11,10,1,0,0,5,3,1,1,0,0,0,0,28,0,0,7,1,6,0,1,0,0,9
"101",5,22.3500003814697,3,15,12,3,20,20,0,0,0,7,8,2,2,1,0,0,0,28,1,1,3,10,3,0,1,0,0,9
"102",5,22.3500003814697,3,13,9,4,35,35,0,0,1,6,17,7,2,2,0,0,1,21,1,0,5,8,9,0,1,0,0,9
"103",5,22.3500003814697,3,9,6,3,19,19,0,0,0,4,6,4,5,0,0,0,1,26,0,1,5,5,6,0,1,0,0,9
"104",5,22.3500003814697,3,40,38,2,26,24,1,1,5,4,9,5,1,0,0,0,1,27,0,1,8,4,10,0,1,0,0,9
"105",5,22.3500003814697,3,16,14,2,16,16,0,0,0,1,9,3,3,0,0,0,1,22,0,1,10,5,2,0,1,0,0,9
"106",5,22.3500003814697,3,10,10,0,24,24,0,0,0,8,10,6,0,0,0,0,1,24,0,1,7,9,7,0,1,0,0,9
"107",5,22.3500003814697,2,7,6,1,11,10,1,0,0,2,5,2,1,0,0,0,1,25,0,0,3,5,9,0,1,0,0,9
"108",5,22.3500003814697,2,16,14,2,22,22,0,0,4,5,10,2,1,0,0,0,0,26,0,1,8,9,8,0,1,0,0,9
"109",5,22.3500003814697,3,19,19,0,23,23,0,0,0,12,11,0,0,0,0,0,1,36,0,0,9,9,5,0,1,0,0,9
"110",5,22.3500003814697,3,3,3,0,21,21,0,0,2,5,7,5,2,0,0,0,1,24,1,1,1,8,6,0,1,0,0,9
"111",6,24.9500007629395,0,12,3,9,20,20,0,0,1,5,7,5,2,0,0,0,0,25,0,1,3,9,5,0,1,0,0,9
"112",6,24.9500007629395,2,21,20,1,25,25,0,0,0,9,12,3,1,0,0,0,0,26,0,0,10,8,6,0,1,0,0,9
"113",6,24.9500007629395,0,4,2,2,16,16,0,0,2,3,6,4,1,0,0,0,0,26,0,1,2,6,8,0,1,0,0,9
"114",6,24.9500007629395,3,13,12,1,26,26,0,0,1,9,9,5,2,0,0,0,1,28,1,1,3,7,8,0,1,0,0,9
"115",6,24.9500007629395,1,9,9,0,20,20,0,0,4,10,4,2,0,0,0,0,0,23,0,1,3,5,6,0,1,0,0,9
"116",6,24.9500007629395,0,7,6,1,14,13,1,0,0,4,4,4,1,0,0,0,1,49,NA,0,8,9,9,0,1,0,0,9
"117",6,24.9500007629395,0,6,5,1,12,12,0,0,0,1,7,3,1,0,0,0,0,23,0,1,1,10,10,0,1,0,0,9
"118",6,24.9500007629395,1,9,7,2,9,9,0,0,0,0,7,2,0,0,0,0,1,23,0,0,6,6,6,0,1,0,0,9
"119",6,24.9500007629395,2,13,9,4,36,36,0,0,1,9,10,13,3,0,0,0,0,29,0,1,5,10,8,0,1,0,0,9
"120",6,24.9500007629395,0,9,7,2,17,17,0,0,0,4,7,5,1,0,0,0,1,20,0,0,2,10,6,0,1,0,0,9
"121",6,24.9500007629395,3,16,15,1,18,18,0,0,0,4,5,7,1,1,0,0,0,25,0,0,9,9,9,0,1,0,0,9
"122",6,24.9500007629395,1,11,7,4,26,21,5,0,0,7,11,0,3,0,0,0,0,24,0,1,10,10,6,0,1,0,0,9
"123",6,24.9500007629395,2,19,15,4,26,26,0,0,0,8,10,4,4,0,0,0,1,25,1,1,8,9,9,0,1,0,0,9
"124",6,24.9500007629395,3,17,15,2,19,19,0,0,0,3,10,4,2,0,0,0,1,26,0,1,7,5,7,0,1,0,0,9
"125",6,24.9500007629395,3,17,16,1,33,33,0,0,2,6,13,8,3,1,0,0,1,22,0,1,9,7,6,0,1,0,0,9
"126",6,24.9500007629395,2,13,11,2,22,21,1,0,0,2,10,6,2,1,0,0,0,20,0,1,5,10,8,0,1,0,0,9
"127",6,24.9500007629395,0,9,9,0,17,17,0,0,0,7,7,3,0,0,0,0,0,35,0,1,6,6,10,0,1,0,0,9
"128",6,24.9500007629395,0,9,7,2,34,34,0,0,5,10,10,8,1,0,0,0,0,27,0,1,2,8,4,0,1,0,0,9
"129",6,24.9500007629395,3,11,7,4,37,37,0,0,1,4,18,10,3,1,0,0,0,21,1,1,2,8,2,0,1,0,0,9
"130",6,24.9500007629395,0,8,7,1,38,36,2,0,5,15,12,3,1,0,0,0,0,26,0,1,3,9,8,0,1,0,0,9
"131",6,24.9500007629395,3,18,15,3,20,20,0,0,1,8,7,2,1,1,0,0,0,21,0,1,10,9,5,0,1,0,0,9
"132",6,24.9500007629395,2,4,2,2,12,12,0,0,0,4,5,3,0,0,0,0,0,29,0,1,2,7,2,0,1,0,0,9
"133",7,24.6299991607666,3,5,5,0,27,27,0,0,1,5,15,5,1,0,0,0,0,19,0,1,4,8,6,0,1,0,0,9
"134",7,24.6299991607666,2,15,13,2,30,30,0,0,3,7,12,5,3,0,0,0,0,34,0,1,9,2,8,0,1,0,0,9
"135",7,24.6299991607666,3,16,16,0,17,17,0,0,2,4,4,5,2,0,0,0,1,24,1,1,7,7,5,0,1,0,0,9
"136",7,24.6299991607666,3,8,6,2,20,20,0,0,0,5,9,3,3,0,0,0,1,20,1,1,5,7,9,0,1,0,0,9
"137",7,24.6299991607666,3,17,14,3,25,25,0,0,1,3,14,4,3,0,0,0,1,23,1,1,9,10,8,0,1,0,0,9
"138",7,24.6299991607666,3,16,16,0,16,16,0,0,1,1,8,2,4,0,0,0,1,19,0,1,8,6,4,0,1,0,0,9
"139",7,24.6299991607666,2,6,4,2,22,20,2,0,4,8,6,1,1,0,0,0,1,30,0,1,7,3,6,0,1,0,0,9
"140",7,24.6299991607666,3,10,10,0,12,12,0,0,2,4,5,1,0,0,0,0,1,17,0,0,6,8,9,0,1,0,0,9
"141",7,24.6299991607666,3,4,4,0,5,5,0,0,1,3,1,0,0,0,0,0,1,25,0,1,6,8,8,0,1,0,0,9
"142",7,24.6299991607666,3,18,17,1,26,26,0,0,2,6,10,6,2,0,0,0,1,24,0,1,3,3,4,0,1,0,0,9
"143",7,24.6299991607666,2,14,11,3,35,34,1,0,3,10,16,3,2,0,0,0,0,19,1,1,3,4,6,0,1,0,0,9
"144",7,24.6299991607666,3,15,14,1,5,3,2,0,0,0,1,2,0,0,0,0,1,29,0,0,6,1,7,0,1,0,0,9
"145",7,24.6299991607666,3,15,14,1,20,20,0,0,0,7,10,2,1,0,0,0,0,24,1,0,3,4,6,0,1,0,0,9
"146",7,24.6299991607666,3,16,12,4,10,10,0,0,0,4,3,1,2,0,0,0,1,19,0,0,8,5,9,0,1,0,0,9
"147",7,24.6299991607666,3,19,17,2,17,17,0,0,0,5,8,1,2,1,0,0,1,23,1,1,8,6,10,0,1,0,0,9
"148",7,24.6299991607666,1,9,7,2,13,13,0,0,0,6,3,3,1,0,0,0,0,27,0,1,3,7,8,0,1,0,0,9
"149",7,24.6299991607666,3,10,7,3,21,21,0,0,1,6,9,4,1,0,0,0,1,21,0,1,5,7,7,0,1,0,0,9
"150",7,24.6299991607666,3,23,21,2,24,24,0,0,1,6,12,5,0,0,0,0,1,24,0,0,1,1,5,0,1,0,0,9
"151",7,24.6299991607666,1,11,11,0,4,4,0,0,0,3,0,0,1,0,0,0,1,30,0,0,10,8,7,0,1,0,0,9
"152",7,24.6299991607666,0,17,14,3,20,20,0,0,0,6,9,4,1,0,0,0,1,24,1,0,7,7,9,0,1,0,0,9
"153",7,24.6299991607666,3,13,13,0,18,18,0,0,1,6,6,5,0,0,0,0,0,23,0,1,10,10,4,0,1,0,0,9
"154",7,24.6299991607666,3,20,14,6,15,15,0,0,0,4,1,6,4,0,0,0,0,22,1,1,5,5,8,0,1,0,0,9
"155",7,24.6299991607666,3,9,8,1,12,11,1,0,0,4,6,0,1,0,0,0,1,19,0,1,9,7,4,0,1,0,0,9
"156",7,24.6299991607666,3,18,16,2,21,21,0,0,0,4,10,5,2,0,0,0,1,27,0,1,9,8,9,0,1,0,0,9
"157",8,26.3299999237061,2,12,8,4,31,31,0,0,2,10,13,3,3,0,0,0,0,23,1,1,8,8,8,0,0,1,0,9
"158",8,26.3299999237061,3,19,17,2,29,28,1,0,2,5,12,6,3,0,0,0,1,20,1,1,7,6,7,0,0,1,0,9
"159",8,26.3299999237061,2,18,15,3,27,27,0,0,0,7,9,6,4,0,1,0,0,23,0,1,8,5,8,0,0,1,0,9
"160",8,26.3299999237061,2,20,18,2,27,25,2,0,0,3,16,4,2,0,0,0,1,28,0,1,5,8,4,0,0,1,0,9
"161",8,26.3299999237061,2,10,6,4,22,19,2,1,0,4,7,5,3,0,0,0,0,20,0,1,1,6,5,0,0,1,0,9
"162",8,26.3299999237061,2,13,13,0,13,12,1,0,0,1,5,5,0,1,0,0,1,28,1,0,7,7,5,0,0,1,0,9
"163",8,26.3299999237061,3,5,3,2,23,20,3,0,0,8,5,4,3,0,0,0,1,24,0,1,1,5,8,0,0,1,0,9
"164",8,26.3299999237061,2,15,12,3,34,34,0,0,3,10,14,6,0,1,0,0,0,19,0,1,8,10,3,0,0,1,0,9
"165",8,26.3299999237061,2,24,17,7,32,32,0,0,1,9,17,3,2,0,0,0,0,22,0,1,4,7,9,0,0,1,0,9
"166",8,26.3299999237061,0,12,9,3,14,13,0,1,0,2,9,1,1,0,0,0,0,27,0,1,5,6,6,0,0,1,0,9
"167",8,26.3299999237061,3,10,9,1,17,17,0,0,0,4,7,3,3,0,0,0,1,26,1,1,10,7,7,0,0,1,0,9
"168",8,26.3299999237061,3,11,9,2,22,22,0,0,2,6,7,7,0,0,0,0,0,23,NA,1,5,10,5,0,0,1,0,9
"169",8,26.3299999237061,2,26,26,0,7,7,0,0,0,1,4,1,1,0,0,0,1,23,0,0,7,3,8,0,0,1,0,9
"170",8,26.3299999237061,3,23,21,2,29,29,0,0,0,2,19,7,1,0,0,0,1,20,0,1,10,10,8,0,0,1,0,9
"171",8,26.3299999237061,3,12,11,1,24,24,0,0,2,8,10,4,0,0,0,0,1,20,0,1,3,8,3,0,0,1,0,9
"172",8,26.3299999237061,3,9,6,3,16,16,0,0,1,3,5,5,2,0,0,0,1,25,0,1,2,3,9,0,0,1,0,9
"173",8,26.3299999237061,3,8,6,2,21,20,1,0,2,4,8,3,3,0,0,0,0,23,0,0,1,9,8,0,0,1,0,9
"174",8,26.3299999237061,3,13,12,1,21,21,0,0,4,9,7,1,0,0,0,0,1,22,1,1,9,8,6,0,0,1,0,9
"175",8,26.3299999237061,3,7,7,0,23,23,0,0,0,3,12,5,2,1,0,0,1,22,0,1,1,10,7,0,0,1,0,9
"176",8,26.3299999237061,2,12,10,2,25,25,0,0,1,6,14,4,0,0,0,0,0,32,0,1,3,10,7,0,0,1,0,9
"177",8,26.3299999237061,1,12,11,1,19,18,1,0,1,9,6,1,1,0,0,0,1,27,0,1,9,8,7,0,0,1,0,9
"178",8,26.3299999237061,0,9,8,1,19,19,0,0,2,2,10,5,0,0,0,0,0,27,1,1,6,7,9,0,0,1,0,9
"179",8,26.3299999237061,2,15,12,3,22,20,2,0,0,3,9,5,3,0,0,0,1,45,0,1,8,5,8,0,0,1,0,9
"180",8,26.3299999237061,3,7,7,0,15,14,1,0,1,2,5,6,0,0,0,0,1,27,0,1,6,9,7,0,0,1,0,9
"181",9,31.5,0,6,6,0,10,7,3,0,1,2,4,0,0,0,0,0,0,23,1,0,3,3,8,0,0,0,1,9
"182",9,31.5,2,27,24,3,18,18,0,0,1,0,6,6,5,0,0,0,0,24,0,1,10,10,8,0,0,0,1,9
"183",9,31.5,1,6,4,2,16,16,0,0,3,5,5,2,1,0,0,0,0,22,0,0,2,8,5,0,0,0,1,9
"184",9,31.5,3,12,9,3,27,27,0,0,2,13,7,5,0,0,0,0,0,19,1,0,5,9,8,0,0,0,1,9
"185",9,31.5,3,21,20,1,52,47,4,1,2,11,13,17,4,0,0,0,1,27,0,1,8,10,3,0,0,0,1,9
"186",9,31.5,3,20,17,3,38,37,1,0,0,10,10,9,7,1,0,0,1,29,0,1,9,8,5,0,0,0,1,9
"187",9,31.5,2,13,10,3,36,34,2,0,2,10,15,5,0,1,1,0,0,20,0,1,8,10,6,0,0,0,1,9
"188",9,31.5,3,16,16,0,19,19,0,0,3,1,6,5,1,2,1,0,1,21,0,1,7,10,9,0,0,0,1,9
"189",9,31.5,1,9,7,2,14,14,0,0,0,5,5,3,1,0,0,0,1,31,0,1,6,8,8,0,0,0,1,9
"190",9,31.5,3,32,0,32,12,11,1,0,0,0,7,3,1,0,0,0,1,20,0,1,10,8,10,0,0,0,1,9
"191",9,31.5,2,15,15,0,16,15,1,0,0,4,9,0,2,0,0,0,0,25,0,1,7,3,3,0,0,0,1,9
"192",9,31.5,1,14,6,8,38,36,0,2,3,13,16,3,1,0,0,0,0,43,1,1,8,8,4,0,0,0,1,9
"193",9,31.5,3,17,15,2,23,23,0,0,2,11,7,2,1,0,0,0,0,21,0,1,9,10,8,0,0,0,1,9
"194",9,31.5,3,13,13,0,12,12,0,0,0,0,7,5,0,0,0,0,1,22,1,1,9,3,4,0,0,0,1,9
"195",9,31.5,3,7,7,0,25,17,7,1,2,6,5,4,0,0,0,0,0,26,0,1,10,10,5,0,0,0,1,9
"196",9,31.5,3,11,11,0,21,20,1,0,1,8,5,4,1,0,1,0,1,28,1,1,8,6,10,0,0,0,1,9
"197",9,31.5,1,19,14,5,38,35,3,0,1,12,16,3,3,0,0,0,0,27,0,1,5,7,6,0,0,0,1,9
"198",9,31.5,3,16,15,1,27,25,2,0,1,8,13,1,2,0,0,0,0,23,1,1,7,8,6,0,0,0,1,9
"199",9,31.5,2,7,7,0,6,6,0,0,1,1,3,0,0,1,0,0,1,20,1,1,8,7,9,0,0,0,1,9
"200",9,31.5,2,4,4,0,6,6,0,0,0,0,3,2,0,1,0,0,1,42,0,1,1,2,5,0,0,0,1,9
"201",9,31.5,2,12,12,0,20,20,0,0,0,5,8,5,2,0,0,0,0,21,0,1,4,6,8,0,0,0,1,9
